[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
πινων,G4095,V-PAP-NSM,verb present active participle nominative singular masculine,drink
πιοτητος,G4096,N-GSF,noun genitive singular feminine,fatness
πιουσα,G4095,V-2AAP-NSF,verb second aorist active participle nominative singular feminine,drink
πιπρασκομενων,G4097,V-PPP-GPN,verb present passive participle genitive plural neuter,sell
πιπτει,G4098,V-PAI-3S,verb present active indicative third person singular,fail
πιπτοντες,G4098,V-PAP-NPM,verb present active participle nominative plural masculine,fail
πιπτοντων,G4098,V-PAP-GPN,verb present active participle genitive plural neuter,fail
πισιδιαν,G4099,A-ASF,adjective accusative singular feminine,Pisidia
πισιδιαν,G4099,N-ASF,noun accusative singular feminine,Pisidia
πιστα,G4103,A-APN,adjective accusative plural neuter,believeing
πιστας,G4103,A-APF,adjective accusative plural feminine,believeing
πιστε,G4103,A-VSM,adjective vocative singular masculine,believeing
πιστει,G4102,N-DSF,noun dative singular feminine,hope
πιστευε,G4100,V-PAM-2S,verb present active imperative second person singular,believer
πιστευει,G4100,V-PAI-3S,verb present active indicative third person singular,believer
πιστευειν,G4100,V-PAN,verb present active infinitive,believer
πιστευεις,G4100,V-PAI-2S,verb present active indicative second person singular,believer
πιστευεται,G4100,V-PPI-3S,verb present passive indicative third person singular,believer
πιστευετε,G4100,V-PAI-2P,verb present active indicative second person plural,believer
πιστευετε,G4100,V-PAM-2P,verb present active imperative second person plural,believer
πιστευη,G4100,V-PAS-3S,verb present active subjunctive third person singular,believer
πιστευητε,G4100,V-PAS-2P,verb present active subjunctive second person plural,believer
πιστευθηναι,G4100,V-APN,verb aorist passive infinitive,believer
πιστευομεν,G4100,V-PAI-1P,verb present active indicative first person plural,believer
πιστευοντα,G4100,V-PAP-ASM,verb present active participle accusative singular masculine,believer
πιστευοντας,G4100,V-PAP-APM,verb present active participle accusative plural masculine,believer
πιστευοντες,G4100,V-PAP-NPM,verb present active participle nominative plural masculine,believer
πιστευοντι,G4100,V-PAP-DSM,verb present active participle dative singular masculine,believer
πιστευοντων,G4100,V-PAP-GPM,verb present active participle genitive plural masculine,believer
πιστευουσιν,G4100,V-PAI-3P,verb present active indicative third person plural,believer
πιστευουσιν,G4100,V-PAP-DPM,verb present active participle dative plural masculine,believer
πιστευσαι,G4100,V-AAN,verb aorist active infinitive,believer
πιστευσαντες,G4100,V-AAP-NPM,verb aorist active participle nominative plural masculine,believer
πιστευσαντων,G4100,V-AAP-GPM,verb aorist active participle genitive plural masculine,believer
πιστευσας,G4100,V-AAP-NSM,verb aorist active participle nominative singular masculine,believer
πιστευσασα,G4100,V-AAP-NSF,verb aorist active participle nominative singular feminine,believer
πιστευσασιν,G4100,V-AAP-DPM,verb aorist active participle dative plural masculine,believer
πιστευσει,G4100,V-FAI-3S,verb future active indicative third person singular,believer
πιστευσετε,G4100,V-FAI-2P,verb future active indicative second person plural,believer
πιστευσης,G4100,V-AAS-2S,verb aorist active subjunctive second person singular,believer
πιστευσητε,G4100,V-AAS-2P,verb aorist active subjunctive second person plural,believer
πιστευσον,G4100,V-AAM-2S,verb aorist active imperative second person singular,believer
πιστευσοντες,G4100,V-FAP-NPM,verb future active participle nominative plural masculine,believer
πιστευσουσιν,G4100,V-FAI-3P,verb future active indicative third person plural,believer
πιστευσω,G4100,V-AAS-1S,verb aorist active subjunctive first person singular,believer
πιστευσωμεν,G4100,V-AAS-1P,verb aorist active subjunctive first person plural,believer
πιστευσωσιν,G4100,V-AAS-3P,verb aorist active subjunctive third person plural,believer
πιστευω,G4100,V-PAI-1S,verb present active indicative first person singular,believer
πιστευων,G4100,V-PAP-NSM,verb present active participle nominative singular masculine,believer
πιστεως,G4102,N-GSF,noun genitive singular feminine,hope
πιστη,G4103,A-NSF,adjective nominative singular feminine,believeing
πιστην,G4103,A-ASF,adjective accusative singular feminine,believeing
πιστης,G4103,A-GSF,adjective genitive singular feminine,believeing
πιστικης,G4101,A-GSF,adjective genitive singular feminine,spikenard
πιστιν,G4102,N-ASF,noun accusative singular feminine,hope
πιστις,G4102,N-NSF,noun nominative singular feminine,hope
πιστοι,G4103,A-NPM,adjective nominative plural masculine,believeing
πιστοις,G4103,A-DPM,adjective dative plural masculine,believeing
πιστον,G4103,A-NSN,adjective nominative singular neuter,believeing
πιστον,G4103,A-ASM,adjective accusative singular masculine,believeing
πιστον,G4103,A-ASN,adjective accusative singular neuter,believeing
πιστος,G4103,A-NSM,adjective nominative singular masculine,believeing
πιστου,G4103,A-GSM,adjective genitive singular masculine,believeing
πιστους,G4103,A-APM,adjective accusative plural masculine,believeing
πιστω,G4103,A-DSM,adjective dative singular masculine,believeing
πιστων,G4103,A-GPM,adjective genitive plural masculine,believeing
πιω,G4095,V-2AAS-1S,verb second aorist active subjunctive first person singular,drink
πιωμεν,G4095,V-2AAS-1P,verb second aorist active subjunctive first person plural,drink
πιων,G4095,V-2AAP-NSM,verb second aorist active participle nominative singular masculine,drink
πιωσιν,G4095,V-2AAS-3P,verb second aorist active subjunctive third person plural,drink
πλακες,G4109,N-NPF,noun nominative plural feminine,table
πλανα,G4105,V-PAI-3S,verb present active indicative third person singular,go astray
πλανασθε,G4105,V-PPI-2P,verb present passive indicative second person plural,go astray
πλανασθε,G4105,V-PPM-2P,verb present passive imperative second person plural,go astray
πλανατω,G4105,V-PAM-3S,verb present active imperative third person singular,go astray
πλανη,G4106,N-NSF,noun nominative singular feminine,deceit
πλανη,G4106,N-DSF,noun dative singular feminine,deceit
πλανηθη,G4105,V-APS-3S,verb aorist passive subjunctive third person singular,go astray
πλανηθηναι,G4105,V-APN,verb aorist passive infinitive,go astray
πλανηθητε,G4105,V-APS-2P,verb aorist passive subjunctive second person plural,go astray
πλανης,G4106,N-GSF,noun genitive singular feminine,deceit
πλανησαι,G4105,V-AAN,verb aorist active infinitive,go astray
πλανηση,G4105,V-AAS-3S,verb aorist active subjunctive third person singular,go astray
πλανησουσιν,G4105,V-FAI-3P,verb future active indicative third person plural,go astray
πλανηται,G4107,N-NPM,noun nominative plural masculine,wandering
πλανοι,G4108,A-NPM,adjective nominative plural masculine,deceiver
πλανοις,G4108,A-DPN,adjective dative plural neuter,deceiver
πλανος,G4108,A-NSM,adjective nominative singular masculine,deceiver
πλανωμεν,G4105,V-PAI-1P,verb present active indicative first person plural,go astray
πλανωμενοι,G4105,V-PPP-NPM,verb present passive participle nominative plural masculine,go astray
πλανωμενοις,G4105,V-PPP-DPM,verb present passive participle dative plural masculine,go astray
πλανωμενον,G4105,V-PPP-ASN,verb present passive participle accusative singular neuter,go astray
πλανων,G4105,V-PAP-NSM,verb present active participle nominative singular masculine,go astray
πλανωνται,G4105,V-PPI-3P,verb present passive indicative third person plural,go astray
πλανωντες,G4105,V-PAP-NPM,verb present active participle nominative plural masculine,go astray
πλανωντων,G4105,V-PAP-GPM,verb present active participle genitive plural masculine,go astray
πλαξιν,G4109,N-DPF,noun dative plural feminine,table
πλασαντι,G4111,V-AAP-DSM,verb aorist active participle dative singular masculine,form
πλασμα,G4110,N-NSN,noun nominative singular neuter,thing formed
πλαστοις,G4112,A-DPM,adjective dative plural masculine,feigned
πλατεια,G4113,N-NSF,noun nominative singular feminine,street
πλατεια,G4116,A-NSF,adjective nominative singular feminine,wide
πλατειαις,G4113,N-DPF,noun dative plural feminine,street
πλατειας,G4113,N-APF,noun accusative plural feminine,street
πλατειας,G4113,N-GSF,noun genitive singular feminine,street
πλατειων,G4113,N-GPF,noun genitive plural feminine,street
πλατος,G4114,N-NSN,noun nominative singular neuter,breadth
πλατος,G4114,N-ASN,noun accusative singular neuter,breadth
πλατυνθητε,G4115,V-APM-2P,verb aorist passive imperative second person plural,make broad
πλατυνουσιν,G4115,V-PAI-3P,verb present active indicative third person plural,make broad
πλεγμασιν,G4117,N-DPN,noun dative plural neuter,broidered hair
πλειν,G4126,V-PAN,verb present active infinitive,sail
πλειον,G4183,A-ASN-C,adjective accusative singular neuter,abundant
πλειον,G4183,A-NSN-C,adjective nominative singular neuter,abundant
πλειονα,G4119,A-APN-C,adjective accusative plural neuter,X above
πλειονα,G4183,A-ASM-C,adjective accusative singular masculine,abundant
πλειονα,G4183,A-ASF-C,adjective accusative singular feminine,abundant
πλειονα,G4183,A-APN-C,adjective accusative plural neuter,abundant
πλειονας,G4183,A-APM-C,adjective accusative plural masculine,abundant
πλειονας,G4183,A-APF-C,adjective accusative plural feminine,abundant
πλειονες,G4183,A-NPM-C,adjective nominative plural masculine,abundant
πλειονος,G4183,A-GSF-C,adjective genitive singular feminine,abundant
πλειονων,G4183,A-GPN-C,adjective genitive plural neuter,abundant
